request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000.00,2025-08-03,none,"Pay IDR 15,656,000.00 in full on 2025-08-03. Your minimum balance of IDR 24,768,300 remains protected."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670.00,2026-07-05,none,"Pay ZAR 6,670.00 in full on 2026-07-05. Your minimum balance of ZAR 20,500 remains protected."
request_28,689.4,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,302.40 request. Your balance cannot safely support this expense within 90 days."
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524.00,2025-11-04,none,"Pay ZAR 51,524.00 in full on 2025-11-04. Your minimum balance of ZAR 28,300 remains protected."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Use 3 installments of USD 268.74 starting 2026-04-06. This fits your cash flow safely.
request_31,13840360.0,affordable_later,wait,2024-09-15:18164000.00,2024-09-15,none,"Wait to pay IDR 18,164,000.00 in full on 2024-09-15. Paying earlier would breach your required balance."
request_32,33305.8,affordable_later,wait,2025-02-15:40018.00,2025-02-15,none,"Wait to pay ZAR 40,018.00 in full on 2025-02-15. Paying earlier would breach your required balance."
request_33,65180.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 118,000.00 request. Your balance cannot safely support this expense within 90 days."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400.00,2024-12-04,none,"Pay INR 129,400.00 in full on 2024-12-04. Your minimum balance of INR 138,500 remains protected."
request_35,125130.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 212,000.00 request. Your balance cannot safely support this expense within 90 days."
request_36,1446.6,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,954.00 request. Your balance cannot safely support this expense within 90 days."
request_37,12068800.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 14,649,000.00 request. Your balance cannot safely support this expense within 90 days."
request_38,379.4,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 971.30 request. Your balance cannot safely support this expense within 90 days.
request_39,203105.0,affordable_later,wait,2026-04-15:208600.00,2026-04-15,none,"Wait to pay INR 208,600.00 in full on 2026-04-15. Paying earlier would breach your required balance."
request_40,894.0,affordable_later,wait,2024-06-15:1290.30,2024-06-15,none,"Wait to pay EUR 1,290.30 in full on 2024-06-15. Paying earlier would breach your required balance."
request_41,24809250.0,affordable_later,wait,2025-11-15:38760000.00,2025-11-15,none,"Wait to pay IDR 38,760,000.00 in full on 2025-11-15. Paying earlier would breach your required balance."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100.00,2026-01-05,none,"Pay INR 52,100.00 in full on 2026-01-05. Your minimum balance of INR 113,100 remains protected."
request_43,15242750.0,affordable_later,wait,2024-09-15:43339000.00,2024-09-15,none,"Wait to pay IDR 43,339,000.00 in full on 2024-09-15. Paying earlier would breach your required balance."
